NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,TP_SEXO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,COMPUTADOR,INTERNET
18,Soteiro(a),Branca,F,ESpanhol,27015068,Palmeira dos Indios,AL,400.8,449.5,470.6,360,500,436.18,Não,Sim
19,Soteiro(a),Branca,M,ESpanhol,27045234,Penedo,AL,476.7,383.5,479.4,413.3,420,434.58,"Sim, um",Sim
18,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,480.9,373.9,408.5,478.4,480,444.34,Não,Não
19,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,421.1,505.5,524.9,461.6,560,494.62,Não,Sim
19,Soteiro(a),Preta,F,ESpanhol,27047830,Penedo,AL,541.1,551.5,559.1,639.6,720,602.26,Não,Não
17,Soteiro(a),Parda,M,Inglês,27050572,Coruripe,AL,565.9,531.2,482.6,548.5,560,537.64,"Sim, um",Sim
18,Soteiro(a),Branca,F,Inglês,27014959,Palmeira dos Indios,AL,498.9,574.1,531.1,451.9,780,567.2,Não,Não
18,Soteiro(a),Parda,M,Inglês,27045552,Penedo,AL,466.1,546.6,416,573.9,620,524.52,"Sim, dois",Sim
17,Soteiro(a),Não dec,F,Inglês,27015068,Palmeira dos Indios,AL,401.4,361.3,441.1,430.7,400,406.9,Não,Não
17,Soteiro(a),Amarela,M,Inglês,27215830,Palmeira dos Indios,AL,438,334.1,522.1,580.1,600,494.86,Não,Sim
18,Soteiro(a),Amarela,M,Inglês,27047830,Penedo,AL,496.4,480.2,525.6,627.7,500,525.98,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27226328,Coruripe,AL,602.3,675.4,642.8,720.5,800,688.2,"Sim, um",Sim
18,Soteiro(a),Parda,M,ESpanhol,27226239,Coruripe,AL,367.3,438.8,511.3,441.6,680,487.8,"Sim, um",Sim
18,Soteiro(a),Parda,F,Inglês,27226166,Penedo,AL,453.2,518.8,531.9,445.1,680,525.8,Não,Sim
19,Soteiro(a),Parda,M,ESpanhol,27215830,Palmeira dos Indios,AL,512.2,534.9,540,504.1,580,534.24,"Sim, um",Sim
19,Soteiro(a),Parda,F,Inglês,27047830,Penedo,AL,509.4,570.8,550.9,532.3,740,580.68,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27045234,Penedo,AL,429.3,522.3,467,451.9,500,474.1,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27013995,Palmeira dos Indios,AL,426.3,415.7,492.1,422.9,640,479.4,Não,Sim
18,Soteiro(a),Branca,F,Inglês,27047830,Penedo,AL,505.5,563.3,531.8,454.6,680,547.04,Não,Sim
17,Soteiro(a),Parda,F,ESpanhol,27014010,Palmeira dos Indios,AL,411.5,465.3,422,446.1,500,448.98,Não,Não
18,Soteiro(a),Parda,M,Inglês,27013995,Palmeira dos Indios,AL,503.2,572.7,485.8,621.7,620,560.68,Não,Não
19,Soteiro(a),Não dec,F,ESpanhol,27215830,Palmeira dos Indios,AL,533.3,554.2,548.5,576.1,560,554.42,"Sim, um",Sim
18,Soteiro(a),Não dec,F,Inglês,27226239,Coruripe,AL,523.5,560.1,591.4,641.7,720,607.34,"Sim, um",Sim
17,Soteiro(a),Parda,F,Inglês,27226239,Coruripe,AL,497.4,522.4,540.4,558.5,560,535.74,Não,Sim
